t [s];Tf [degC];P [W]
62160;21,19;4978
62220;21,19;4985
62280;21,19;4983
62340;21,19;4977
62400;21,19;4977
62460;21,20;4977
62520;21,20;4978
62580;21,20;4981
62640;21,20;4978
62700;21,20;4978
62760;21,20;4975
62820;21,20;4974
62880;21,20;4969
62940;21,20;4962
63000;21,21;4969
63060;21,21;4972
63120;21,21;4964
63180;21,21;4972
63240;21,22;4984
63300;21,22;4982
63360;21,23;4989
63420;21,22;4981
63480;21,22;4973
63540;21,23;4980
63600;21,23;4981
63660;21,23;4985
63720;21,24;4988
63780;21,24;4982
63840;21,23;4974
63900;21,23;4975
63960;21,24;4984
64020;21,24;4984
64080;21,25;4987
64140;21,25;4986
64200;21,25;4988
64260;21,25;4992
64320;21,26;4993
64380;21,26;4989
64440;21,25;4985
64500;21,25;4982
64560;21,25;4979
64620;21,26;4977
64680;21,26;4973
64740;21,25;4965
64800;21,25;4961
64860;21,26;4966
64920;21,26;4966
64980;21,26;4968
65040;21,27;4979
65100;21,27;4975
65160;21,27;4979
65220;21,27;4973
65280;21,27;4973
65340;21,28;4979
65400;21,28;4983
65460;21,28;4984
65520;21,29;4994
65580;21,29;4986
65640;21,29;4978
65700;21,29;4982
65760;21,29;4985
65820;21,30;4992
65880;21,30;4993
65940;21,30;4988
66000;21,29;4975
66060;21,30;4976
66120;21,30;4984
66180;21,31;4985
66240;21,31;4983
66300;21,30;4976
66360;21,31;4975
66420;21,31;4975
66480;21,31;4979
66540;21,32;4982
66600;21,32;4986
66660;21,32;4986
66720;21,32;4981
66780;21,32;4974
66840;21,32;4973
66900;21,32;4980
66960;21,33;4987
67020;21,33;4983
67080;21,33;4975
67140;21,33;4973
67200;21,33;4977
67260;21,33;4982
67320;21,34;4986
67380;21,35;4984
67440;21,34;4982
67500;21,34;4973
67560;21,34;4977
67620;21,35;4981
67680;21,35;4991
67740;21,35;4990
67800;21,35;4986
67860;21,35;4986
67920;21,35;4981
67980;21,36;4985
68040;21,35;4976
68100;21,35;4973
68160;21,36;4976
68220;21,36;4980
68280;21,36;4978
68340;21,36;4980
68400;21,37;4987
68460;21,37;4983
68520;21,37;4983
68580;21,37;4986
68640;21,37;4984
68700;21,38;4987
68760;21,37;4992
68820;21,36;4983
68880;21,36;4978
68940;21,37;4982
69000;21,37;4981
69060;21,38;4985
69120;21,38;4992
69180;21,38;4987
69240;21,38;4979
69300;21,39;4980
69360;21,39;4985
69420;21,39;4987
69480;21,40;4988
69540;21,40;4978
69600;21,40;4973
69660;21,41;5002
69720;21,40;4987
69780;21,40;4982
69840;21,40;4975
69900;21,40;4978
69960;21,40;4978
70020;21,41;4993
70080;21,40;4982
70140;21,40;4973
70200;21,41;4974
70260;21,41;4971
70320;21,41;4972
70380;21,42;4991
70440;21,42;4996
70500;21,42;4987
70560;21,42;4988
70620;21,42;4980
70680;21,42;4976
70740;21,43;4986
70800;21,43;4986
70860;21,43;4982
70920;21,43;4983
70980;21,44;4987
71040;21,44;4983
71100;21,44;4984
71160;21,44;4988
71220;21,44;4982
71280;21,44;4975
71340;21,44;4981
71400;21,45;4984
71460;21,45;4982
71520;21,45;4983
71580;21,45;4986
71640;21,45;4988
71700;21,45;4986
71760;21,45;4974
71820;21,45;4967
71880;21,46;4976
71940;21,46;4990
72000;21,47;4989
72060;21,47;4978
72120;21,47;4981
72180;21,47;4988
72240;21,49;5021
72300;21,49;5019
72360;21,49;5004
72420;21,48;4995
72480;21,48;4987
72540;21,49;5008
72600;21,49;4999
72660;21,49;4992
72720;21,48;4988
72780;21,48;4984
72840;21,48;4976
72900;21,49;4983
72960;21,49;4984
73020;21,49;4975
73080;21,49;4974
73140;21,49;4972
73200;21,49;4969
73260;21,50;4996
73320;21,51;5011
73380;21,51;5005
73440;21,51;4995
73500;21,51;4989
73560;21,51;4986
73620;21,51;4988
73680;21,51;4991
73740;21,51;4990
73800;21,51;4992
73860;21,52;4996
73920;21,52;4994
73980;21,52;4989
74040;21,52;4987
74100;21,52;4985
74160;21,52;4983
